charge 1300mAh 
PWM: 1
PWM: 2
PWM: 3
START
00:19:38,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.743|diff: -0.032|Iset: 2.000|Ichg: 1.968|Idis: 2.349|Bavg: 1.376
00:19:46,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.738|diff: -0.032|Iset: 2.000|Ichg: 1.968|Idis: 2.354|Bavg: 1.377
00:19:54,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.616|diff: 0.080|Iset: 2.000|Ichg: 2.080|Idis: 2.354|Bavg: 1.377
00:20:02,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.831|diff: 0.080|Iset: 2.000|Ichg: 2.080|Idis: 2.344|Bavg: 1.376
00:20:10,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.621|diff: 0.036|Iset: 2.000|Ichg: 2.036|Idis: 2.344|Bavg: 1.376
00:20:18,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.738|diff: -0.032|Iset: 2.000|Ichg: 1.968|Idis: 2.354|Bavg: 1.376
00:20:26,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.616|diff: -0.037|Iset: 2.000|Ichg: 1.963|Idis: 2.344|Bavg: 1.375
00:20:34,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.733|diff: -0.042|Iset: 2.000|Ichg: 1.958|Idis: 2.354|Bavg: 1.375
00:20:42,1,1,1970|CHG|PWM: 24|Batt: 1.382|Load: 1.787|diff: -0.008|Iset: 2.000|Ichg: 1.992|Idis: 2.358|Bavg: 1.376
00:20:50,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.738|diff: -0.027|Iset: 2.000|Ichg: 1.973|Idis: 2.354|Bavg: 1.376
00:20:58,1,1,1970|CHG|PWM: 24|Batt: 1.372|Load: 1.626|diff: 0.100|Iset: 2.000|Ichg: 2.100|Idis: 2.358|Bavg: 1.375
00:21:06,1,1,1970|CHG|PWM: 24|Batt: 1.377|Load: 1.777|diff: -0.071|Iset: 2.000|Ichg: 1.929|Idis: 2.354|Bavg: 1.376
